id,partner_id/id,acc_number,bank_id/id,company_id/id,currency_id/id,sequence
res_partner_bank_1_1_01_02_001,base.main_partner,Bank Mandiri HO (IDR) 102-000-434-888-1,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_002,base.main_partner,Bank Mandiri HO (IDR) 102-00-0502-109-9,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_003,base.main_partner,Bank Mandiri BDG (IDR) 102-00-0519-833-5,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_004,base.main_partner,Bank Mandiri BGK (IDR) 102-00-0519-834-3,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_005,base.main_partner,Bank Mandiri PKB (IDR) 102-00-0519-835-0,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_006,base.main_partner,Bank Mandiri BTM (IDR) 102-00-0519-836-8,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_007,base.main_partner,Bank Mandiri SOL (IDR) 102-00-0519-837-6,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_008,base.main_partner,Bank Mandiri SBY (IDR) 102-00-0519-839-2,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_009,base.main_partner,Bank Mandiri MKS (IDR) 102-00-0519-841-8,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_010,base.main_partner,Bank Mandiri BJM (IDR) 102-00-0519-842-6,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_011,base.main_partner,Bank Mandiri CBN (IDR) 102-000-569-769-0,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_012,base.main_partner,Bank Mandiri JMB (IDR) 102-000-569-770-8,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_013,base.main_partner,Bank Mandiri JGJ (IDR) 102-000-569-771-6,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_014,base.main_partner,Bank Mandiri MDN (IDR) 102-000-569-772-4,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_015,base.main_partner,Bank Mandiri PLG (IDR) 102-000-569-775-7,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_016,base.main_partner,Bank Mandiri SMG (IDR) 102-000-569-777-3,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_017,base.main_partner,Bank Mandiri BAL (IDR) 102-000-569-778-1,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_018,base.main_partner,Bank Mandiri BGR (IDR) 102-000-569-779-9,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_019,base.main_partner,Bank Mandiri SRG (IDR) 102-000-569-781-5,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_020,base.main_partner,Bank Mandiri SMD (IDR) 102-000-569-782-3,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_021,base.main_partner,Bank Mandiri LPG (IDR) 102-000-569-783-1,res_bank_mandiri,base.main_company,base.IDR,0
res_partner_bank_1_1_01_02_022,base.main_partner,Bank Mandiri PTK (IDR) 102-000-569-784-9,res_bank_mandiri,base.main_company,base.IDR,0
